"schid","name","enroll","male_per","frpl_per","sped_per","lep_per","gifted_per","lea_id","id_type","title1_status","title3_program_type","type","poverty_desig","year"
"01","Martin",159,0.45048054478477,0.0574942913832819,0.10470628545044,0.0275046862444581,0.259639720455627,"0001","Local","SWELIGSWPROG","ContentBasedESL","K12School","Neither","2009"
"02","Jefferson",675,0.488961305191571,0.845559088851071,0.139715845622021,0.273650893632295,0.0768685327526003,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2009"
"03","Ace Hall",186,0.459112575164236,0.191918084538292,0.114495078464822,0.16037841265181,0.264609725068905,"0001","Local","TGELGBNOPROG","DualLanguage","K12School","HighQuartile","2009"
"04","Harrison",234,0.518052330528508,0.24885808057117,0.0618855614368209,0.0126331457979512,0.199848891025814,"0001","Local","TGELGBNOPROG","HeritageLanguage","K12School","Neither","2009"
"05","Shortleaf",113,0.449722067485477,0.284295159267684,0.052090379854902,0.0057084016818858,0.29988743491499,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","HighQuartile","2009"
"06","Wintergreen",167,0.494044481073189,0.0218888771314358,0.00868738821662298,0.0533120718988773,0.345797563441312,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","Neither","2009"
"07","Tupelo",195,0.543733362259276,0.282278259730445,0.0530779760685735,0.0133961725778169,0.0509701682115469,"0001","Local","SWELIGTGPROG","TransitionalBilingual","K12School","Neither","2009"
"08","Secretariat",672,0.598084746665274,0.11866976439141,0.150461608356912,0.10449658460984,0.533414583831979,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","HighQuartile","2009"
"09","Spellman",129,0.441267046921026,0.115716147589116,0.00273180713067594,0.0607797082374578,0.52500940686098,"0001","Local","NOTTITLE1ELIG","TwoWayImmersion","K12School","Neither","2009"
"10","Labyrinth",2382,0.547956503359576,0.518840306438172,0.207203898608977,0.101419978946215,0.103222107820323,"0001","Local","SWELIGNOPROG","HeritageLanguage","K12School","Neither","2009"
"11","Islander",270,0.556178814177473,0.299728035665694,0.020970503211978,0.189964525064949,0.310825335679154,"0001","Local","TGELGBNOPROG","DevelopmentalBilingual","K12School","Neither","2009"
"12","Chan",168,0.448653361266596,0.453884506022834,0.00922814728478632,0.0501763388782274,0.0746919510811187,"0001","Local","SWELIGTGPROG","TransitionalBilingual","CharterSchoolManagementOrganization","LowQuartile","2009"
"13","Galaxy",2514,0.506539504927158,0.119631871463716,0.0215458959710258,0.0828012360201683,0.2351386893942,"0001","Local","TGELGBTGPROG","SDAIE","K12School","HighQuartile","2009"
"14","Courtdale",212,0.517521000071047,0.037938148507618,0.0278882653539462,0.145188308237121,0.481607563843877,"0001","Local","TGELGBTGPROG","ContentBasedESL","K12School","Neither","2009"
"15","Jupiter",156,0.619737060403702,0.0992582184504206,0.0657229787945044,0.143397371910222,0.39840648340786,"0001","Local","TGELGBTGPROG","StructuredEnglishImmersion","K12School","LowQuartile","2009"
"16","Vidalia",105,0.609737437847478,0.60415588725332,0.106693664014928,0.00706896237179808,0.101900074684668,"0001","Local","NOTTITLE1ELIG","HeritageLanguage","K12School","HighQuartile","2009"
"17","Anderson",688,0.444242311831439,0.521714658254912,0.029628658987897,0.0821143056297671,0.0142990757859786,"0001","Local","NOTTITLE1ELIG","StructuredEnglishImmersion","K12School","Neither","2009"
"18","Davidson",559,0.530192879442256,0.154987973587122,0.0353331572502294,0.0377396879318568,0.310698158553603,"0001","Local","SWELIGNOPROG","ContentBasedESL","K12School","Neither","2009"
"19","Pollock",343,0.436895385083766,0.442483447590276,0.0288516437577994,0.0843441766960625,0.264367102391576,"0001","Local","TGELGBTGPROG","ShelteredEnglishInstruction","K12School","HighQuartile","2009"
"20","Northbridge",551,0.411145050311556,0.369745814096828,0.2668794773554,0.141170175758889,0.320444766115357,"0001","Local","SWELIGNOPROG","SDAIE","EducationOrganizationNetwork","HighQuartile","2009"
"21","Silver Oak",61,0.548553210467619,0.0709096819232218,0.0531346234562322,0.034718221409712,0.362695649627875,"0001","Local","TGELGBNOPROG","ContentBasedESL","K12School","Neither","2009"
"22","Gail Hill",842,0.528777634495721,0.611735624350436,0.0642853418161612,0.107565350220539,0.0351983456429708,"0001","Local","SWELIGNOPROG","TwoWayImmersion","CharterSchoolManagementOrganization","Neither","2009"
"23","Marshall",105,0.488554022196134,0.0675755950285261,0.118156393024838,0.0764941543061286,0.303198835340553,"0001","Local","NOTTITLE1ELIG","DevelopmentalBilingual","K12School","LowQuartile","2009"
"24","Spinelli",155,0.525434446956692,0.184684755605431,0.109721256122729,0.113780737530906,0.32414961676492,"0001","Local","TGELGBTGPROG","DualLanguage","K12School","Neither","2009"
"25","Chiswick",246,0.47730924229046,0.673308388071501,0.137260947353901,0.21081074398601,0.325964183135954,"0001","Local","SWELIGNOPROG","DualLanguage","K12School","Neither","2009"
"26","Kumar",894,0.461395617346706,0.578809464203371,0.0532138375276405,0.207031048719857,0.408395167742018,"0001","Local","SWELIGTGPROG","TwoWayImmersion","K12School","Neither","2009"
"27","Meridian",92,0.562245864252024,0.326611113823233,0.121299991142536,0.00404256363704721,0.275043501427372,"0001","Local","SWELIGTGPROG","PullOutESL","K12School","Neither","2009"
"28","Walker",88,0.426810613334851,0.263573716564618,0.110905265514409,0.130719140415,0.473316974527811,"0001","Local","NOTTITLE1ELIG","SDAIE","K12School","Neither","2009"
"29","Eureka",128,0.437523578668818,0.333467471308279,0.136059084180395,0.00403633913738016,0.312368924633032,"0001","Local","TGELGBNOPROG","Other","K12School","Neither","2009"
"30","King",1518,0.449186122622811,0.062408583637295,0.0793190958424232,0.0499936479015269,0.121096579917939,"0001","Local","TGELGBNOPROG","TwoWayImmersion","K12School","LowQuartile","2009"
"31","Walnut",131,0.538276912645448,0.348804213197115,0.0107835711770624,0.0620162835007068,0.0467275650439629,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2009"
"32","Angelea",68,0.395246129014769,0.921947998974938,0.0964720659563684,0.245538490384808,0.110233636641642,"0001","Local","TGELGBTGPROG","SDAIE","K12School","Neither","2009"
"33","Corcoran",230,0.521091698075783,0.565807947733948,0.0428618467960714,0.0316336505382787,0.102827815828341,"0001","Local","SWELIGTGPROG","DualLanguage","K12School","LowQuartile","2009"
