"schid","name","enroll","male_per","frpl_per","sped_per","lep_per","gifted_per","lea_id","id_type","title1_status","title3_program_type","type","poverty_desig","year"
"01","Martin",166,0.460702163108682,0.00516781841469593,0.105088367305127,0.03891955503379,0.289560137020226,"0001","Local","SWELIGSWPROG","ContentBasedESL","K12School","Neither","2007"
"02","Jefferson",690,0.512978685566273,0.813529962163514,0.159744191832179,0.260515610184455,0.0850607630381251,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2007"
"03","Ace Hall",210,0.45187204446241,0.306340514829764,0.073790590171782,0.161830222652326,0.206150337023554,"0001","Local","TGELGBNOPROG","DualLanguage","K12School","HighQuartile","2007"
"04","Harrison",236,0.528031215538042,0.283391267049114,0.0785953521422942,0.0107308077849703,0.181359842624969,"0001","Local","TGELGBNOPROG","HeritageLanguage","K12School","Neither","2007"
"05","Shortleaf",109,0.444213602942731,0.219831770741561,0.049449444658025,0.0218310602063581,0.33456891199032,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","HighQuartile","2007"
"06","Wintergreen",182,0.491016125187461,0.104042839880567,0.00691529144185788,0.0706894085757009,0.364952569718343,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","Neither","2007"
"07","Tupelo",168,0.552369323025619,0.239329938235966,0.0665207312351997,0.0818442592024803,0.0440139332659226,"0001","Local","SWELIGTGPROG","TransitionalBilingual","K12School","Neither","2007"
"08","Secretariat",663,0.597126097719825,0.181769337643187,0.149817983220871,0.103708586219971,0.516206911606753,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","HighQuartile","2007"
"09","Spellman",98,0.449559429559736,0.0389102906982167,0.00670386579646103,0.0784757583347458,0.614445101059319,"0001","Local","NOTTITLE1ELIG","TwoWayImmersion","K12School","Neither","2007"
"10","Labyrinth",2374,0.551162375323494,0.486063849765964,0.194650536834373,0.167008888493292,0.0716936948294087,"0001","Local","SWELIGNOPROG","HeritageLanguage","K12School","Neither","2007"
"11","Islander",268,0.541675693197866,0.288823350269715,0.0224852448186966,0.242097817421257,0.327069176448669,"0001","Local","TGELGBNOPROG","DevelopmentalBilingual","K12School","Neither","2007"
"12","Chan",179,0.474227422070633,0.517760619885877,0.036587835829705,0.174712395400275,0.0741070055904053,"0001","Local","SWELIGTGPROG","TransitionalBilingual","CharterSchoolManagementOrganization","LowQuartile","2007"
"13","Galaxy",2514,0.520823278869316,0.0787481512629893,0.169608401089208,0.0215021898422856,0.182657655921472,"0001","Local","TGELGBTGPROG","SDAIE","K12School","HighQuartile","2007"
"14","Courtdale",215,0.500037909452729,0.0376497746619544,0.0146608108100192,0.139227568883216,0.47198003356678,"0001","Local","TGELGBTGPROG","ContentBasedESL","K12School","Neither","2007"
"15","Jupiter",172,0.661737601861119,0.0245062048553814,0.0501636977253983,0.116198987925974,0.304567576978733,"0001","Local","TGELGBTGPROG","StructuredEnglishImmersion","K12School","LowQuartile","2007"
"16","Vidalia",113,0.587764101450772,0.663722238855284,0.11947886773405,0.0403573745579845,0.0274111033364183,"0001","Local","NOTTITLE1ELIG","HeritageLanguage","K12School","HighQuartile","2007"
"17","Anderson",682,0.446140145398908,0.580184924829237,0.0434638516253632,0.0619696833063089,0.023217288582023,"0001","Local","NOTTITLE1ELIG","StructuredEnglishImmersion","K12School","Neither","2007"
"18","Davidson",573,0.530643520584531,0.133369089311454,0.115656888304447,0.0242592023607652,0.381696852784607,"0001","Local","SWELIGNOPROG","ContentBasedESL","K12School","Neither","2007"
"19","Pollock",339,0.384690158760461,0.523175336316944,0.123054121761816,0.0931974631262894,0.293201187209319,"0001","Local","TGELGBTGPROG","ShelteredEnglishInstruction","K12School","HighQuartile","2007"
"20","Northbridge",562,0.420374125663583,0.31803870976983,0.258648639033788,0.0037062214603064,0.259727462536416,"0001","Local","SWELIGNOPROG","SDAIE","EducationOrganizationNetwork","HighQuartile","2007"
"21","Silver Oak",94,0.547990665299559,0.0413803818910628,0.0203037320161073,0.102457762913546,0.328268659718995,"0001","Local","TGELGBNOPROG","ContentBasedESL","K12School","Neither","2007"
"22","Gail Hill",823,0.49453808720408,0.431454182653346,0.0662515594989294,0.0319588259409156,0.0551328467694111,"0001","Local","SWELIGNOPROG","TwoWayImmersion","CharterSchoolManagementOrganization","Neither","2007"
"23","Marshall",93,0.479668545679337,0.0476389083072092,0.0530973022687249,0.00696053091225293,0.250114989065944,"0001","Local","NOTTITLE1ELIG","DevelopmentalBilingual","K12School","LowQuartile","2007"
"24","Spinelli",144,0.514932866912829,0.17817426951766,0.135497305718211,0.0300933033946521,0.317056162027499,"0001","Local","TGELGBTGPROG","DualLanguage","K12School","Neither","2007"
"25","Chiswick",223,0.478486632963887,0.718177767980967,0.180901859343268,0.200305887791885,0.294472914390153,"0001","Local","SWELIGNOPROG","DualLanguage","K12School","Neither","2007"
"26","Kumar",904,0.453874212357964,0.564252557957903,0.0752052568261121,0.211733603993467,0.394011374125794,"0001","Local","SWELIGTGPROG","TwoWayImmersion","K12School","Neither","2007"
"27","Meridian",113,0.526303262015881,0.324990420749591,0.118518698311138,0.0293072939346654,0.230770079308485,"0001","Local","SWELIGTGPROG","PullOutESL","K12School","Neither","2007"
"28","Walker",84,0.404351776917449,0.33916386840123,0.140457869945459,0.128441373162552,0.420337713701274,"0001","Local","NOTTITLE1ELIG","SDAIE","K12School","Neither","2007"
"29","Eureka",121,0.425492670585127,0.208849134184942,0.169457188207017,0.0415047954313923,0.347986102518834,"0001","Local","TGELGBNOPROG","Other","K12School","Neither","2007"
"30","King",1521,0.464997499081261,0.156577907977627,0.0901874078887022,0.0199365849091374,0.00643825736396282,"0001","Local","TGELGBNOPROG","TwoWayImmersion","K12School","LowQuartile","2007"
"31","Walnut",118,0.553245549705469,0.306439045684168,0.016790382133988,0.153427048438461,0.0320392512686906,"0001","Local","SWELIGTGPROG","ShelteredEnglishInstruction","K12School","Neither","2007"
"32","Angelea",71,0.406265227564901,0.862237192238611,0.127285184848395,0.235299046993529,0.0792605051561259,"0001","Local","TGELGBTGPROG","SDAIE","K12School","Neither","2007"
"33","Corcoran",198,0.562691059110345,0.634453449790588,0.042994424173293,0.00106402647871726,0.103705676969292,"0001","Local","SWELIGTGPROG","DualLanguage","K12School","LowQuartile","2007"
"34","Simpson",157,0.471190312844852,0.143029639216056,0.0707736294827653,0.0271529031795992,0.350868581932052,"0001","Local","SWELIGNOPROG","StructuredEnglishImmersion","K12School","Neither","2007"
"35","Cold Springs",98,0.23535340793575,0.246576269613984,0.0586311103715115,0.0706370603891025,0.431804545442577,"0001","Local","SWELIGSWPROG","ShelteredEnglishInstruction","K12School","Neither","2007"
"36","Midlands",221,0.550243030825309,0.4681278718224,0.152200461742751,0.09625237547094,0.135038944593941,"0001","Local","TGELGBNOPROG","TransitionalBilingual","K12School","HighQuartile","2007"
